YY,MON,DY,DOY:HH:MM:SS,SPEED,Np,Vth,N/S,V_He,GSE_X,GSE_Y,GSE_Z,RANGE,HGLAT,HGLONG,CRN(E)
23,01,01,001:00:00:06,589,2.39,39,-0.1,606,192.9,18.9,14.9,145.9,-2.9,4.9,2265
23,01,01,001:00:04:53,588,2.83,39,-0.7,605,192.9,18.9,14.9,145.9,-2.9,4.9,2265
23,01,01,001:00:09:57,585,2.32,40,-0.5,603,192.9,18.9,14.9,145.9,-2.9,4.9,2265
23,01,01,001:00:14:57,596,1.64,44,-2.0,619,192.9,18.9,14.9,145.9,-2.9,4.8,2265
23,01,01,001:00:20:00,662,1.88,48,-5.1,690,192.9,18.9,14.9,145.9,-2.9,4.6,2265
23,01,01,001:00:25:02,588,1.75,44,-0.7,611,192.9,18.9,14.9,145.9,-2.9,4.6,2265
23,01,01,001:00:30:03,592,1.99,44,-1.0,616,192.9,18.9,14.9,145.9,-2.9,4.6,2265
23,01,01,001:00:35:07,604,1.91,44,-2.7,627,192.9,18.9,14.9,145.9,-2.9,4.6,2265
23,01,01,001:00:40:10,623,1.18,49,-3.3,653,192.9,19.0,14.9,145.9,-2.9,4.5,2265
23,01,01,001:00:45:10,620,1.31,48,-2.1,649,192.9,19.0,14.9,145.9,-2.9,4.5,2265
23,01,01,001:00:50:12,592,2.00,43,-0.7,614,192.9,19.0,14.9,145.9,-2.9,4.4,2265
23,01,01,001:00:55:15,589,2.25,42,-0.9,609,192.9,19.0,14.9,145.9,-2.9,4.4,2265
23,01,01,001:01:00:17,583,2.04,40,-2.1,601,192.9,19.0,14.9,145.9,-2.9,4.3,2265
23,01,01,001:01:05:18,624,1.61,47,-3.4,650,192.9,19.0,14.9,145.9,-2.9,4.3,2265
23,01,01,001:01:10:24,628,1.57,47,-4.9,655,192.9,19.0,14.9,145.9,-2.9,4.2,2265
23,01,01,001:01:15:24,631,1.26,49,-4.4,661,192.9,19.0,14.9,145.9,-2.9,4.2,2265
23,01,01,001:01:20:25,675,1.61,47,-5.0,701,192.9,19.1,14.9,145.9,-2.9,4.1,2265
23,01,01,001:01:25:29,634,1.68,48,-4.9,661,192.9,19.1,14.9,145.9,-2.9,4.1,2265
23,01,01,001:01:30:30,628,1.57,47,-4.7,654,192.9,19.1,14.9,145.9,-2.9,4.0,2265
23,01,01,001:01:35:32,609,1.91,43,-3.5,631,192.9,19.1,14.9,145.9,-2.9,4.0,2265
23,01,01,001:01:40:38,599,1.90,42,-3.0,620,192.9,19.1,14.9,145.9,-2.9,4.0,2265
23,01,01,001:01:45:37,594,1.89,41,-2.7,614,192.9,19.1,14.9,145.9,-2.9,4.0,2265
23,01,01,001:01:50:39,573,1.92,37,-0.9,588,192.9,19.1,14.9,145.9,-2.9,3.8,2265
23,01,01,001:01:55:40,576,1.85,38,-0.4,592,192.9,19.1,14.9,145.9,-2.9,3.8,2265
23,01,01,001:02:00:44,578,1.93,38,-0.1,595,192.9,19.2,14.9,145.9,-2.9,3.8,2265
23,01,01,001:02:05:46,583,1.63,41,-0.3,603,192.9,19.2,14.9,145.9,-2.9,3.8,2265
23,01,01,001:02:10:47,572,1.72,38,-0.7,589,192.9,19.2,14.8,145.9,-2.9,3.7,2265
23,01,01,001:02:15:51,573,1.66,39,-0.8,590,192.9,19.2,14.8,145.9,-2.9,3.7,2265
23,01,01,001:02:20:52,591,1.97,42,0.8,611,192.9,19.2,14.8,145.9,-2.9,3.6,2265
23,01,01,001:02:25:54,606,2.04,43,1.2,627,192.9,19.2,14.8,145.9,-2.9,3.6,2265
23,01,01,001:02:30:56,594,1.50,43,-0.2,615,192.9,19.3,14.8,145.9,-2.9,3.5,2265
23,01,01,001:02:35:59,614,1.34,47,0.3,640,192.9,19.3,14.8,145.9,-2.9,3.5,2265
23,01,01,001:02:41:01,597,1.43,45,0.3,621,192.9,19.3,14.8,145.9,-2.9,3.4,2265
23,01,01,001:02:46:04,620,1.06,49,-1.0,649,192.9,19.3,14.8,145.9,-2.9,3.4,2265
23,01,01,001:02:51:04,596,2.33,42,-3.0,616,192.9,19.3,14.8,145.9,-2.9,3.3,2265
23,01,01,001:02:56:07,588,2.54,38,-3.5,604,192.9,19.3,14.8,145.9,-2.9,3.3,2265
23,01,01,001:03:01:09,590,2.31,39,-3.3,607,192.9,19.3,14.8,145.9,-2.9,3.2,2265
23,01,01,001:03:06:11,584,1.73,42,-1.3,605,192.9,19.3,14.8,145.9,-2.9,3.2,2265
23,01,01,001:03:11:14,601,2.71,46,0.8,626,192.9,19.4,14.8,145.9,-2.9,3.1,2265
23,01,01,001:03:16:18,592,2.79,41,0.9,611,192.9,19.4,14.8,145.9,-2.9,3.1,2265
23,01,01,001:03:21:18,595,2.87,42,0.9,614,192.9,19.4,14.8,145.9,-2.9,3.0,2265
23,01,01,001:03:26:21,630,1.76,46,-4.2,655,192.9,19.4,14.8,145.9,-2.9,3.0,2265
23,01,01,001:03:31:23,621,2.04,43,-4.4,643,192.9,19.4,14.8,145.9,-2.9,2.9,2265
23,01,01,001:03:36:24,593,2.36,38,-3.6,609,192.9,19.4,14.8,145.9,-2.9,2.9,2265
23,01,01,001:03:41:28,589,2.74,37,-3.4,605,192.9,19.4,14.8,145.9,-2.9,2.9,2265
23,01,01,001:03:46:32,587,2.44,38,-3.5,603,192.9,19.4,14.8,145.9,-2.9,2.9,2265
23,01,01,001:03:51:31,584,2.26,37,-3.3,599,192.9,19.5,14.8,145.9,-2.9,2.8,2265
23,01,01,001:03:56:35,584,2.05,38,-2.9,600,192.9,19.5,14.8,145.9,-2.9,2.8,2265
23,01,01,001:04:01:37,581,2.26,38,-2.8,597,192.9,19.5,14.8,145.9,-2.9,2.6,2265
23,01,01,001:04:06:39,586,2.20,38,-2.6,603,192.9,19.5,14.8,145.9,-2.9,2.6,2265
23,01,01,001:04:11:40,585,2.34,38,-2.0,601,192.9,19.5,14.8,145.9,-2.9,2.6,2265
23,01,01,001:04:16:46,587,2.10,39,-1.0,604,192.9,19.5,14.8,145.9,-2.9,2.6,2265
23,01,01,001:04:21:46,582,2.15,38,-0.7,598,192.9,19.5,14.8,145.9,-2.9,2.5,2265
23,01,01,001:04:26:47,577,2.03,37,-3.2,593,192.9,19.5,14.8,145.9,-2.9,2.5,2265
23,01,01,001:04:31:51,579,1.97,38,-3.2,596,192.9,19.6,14.8,145.9,-2.9,2.4,2265
23,01,01,001:04:36:52,584,1.74,40,-1.6,602,192.9,19.6,14.8,145.9,-2.9,2.4,2265
23,01,01,001:04:41:54,575,1.90,38,-2.9,591,192.9,19.6,14.8,145.9,-2.9,2.3,2265
23,01,01,001:04:46:55,577,2.00,37,-3.1,593,192.9,19.6,14.8,145.9,-2.9,2.3,2265
23,01,01,001:04:51:59,576,2.01,35,-2.7,590,192.9,19.6,14.8,145.9,-2.9,2.2,2265
23,01,01,001:04:57:01,577,2.08,36,-3.2,591,192.9,19.6,14.8,145.9,-2.9,2.2,2265
23,01,01,001:05:02:02,569,1.91,34,-2.2,582,192.9,19.7,14.8,145.9,-3.0,2.1,2265
23,01,01,001:05:07:06,562,1.78,33,-1.1,573,192.9,19.7,14.8,145.9,-3.0,2.1,2265
23,01,01,001:05:12:07,560,1.71,31,-0.8,571,192.9,19.7,14.8,145.9,-3.0,2.0,2265
23,01,01,001:05:17:09,559,1.74,34,-1.1,572,192.9,19.7,14.8,145.9,-3.0,2.0,2265
23,01,01,001:05:22:13,559,1.68,34,-1.2,573,192.9,19.7,14.8,145.9,-3.0,1.9,2265
23,01,01,001:05:27:14,560,1.69,33,-1.0,572,192.9,19.7,14.8,145.9,-3.0,1.9,2265
23,01,01,001:05:32:16,561,1.73,33,-1.4,574,192.9,19.7,14.8,145.9,-3.0,1.8,2265
